# African Tree-Ring 250 Year d13C and Intrinsic Water-Use Efficiency (iWUE)
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/20305
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-20305.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI: 10.25921/pwzb-3a76
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/treering/isotope/africa/africa2016d13c-iwue-kn-noaa.txt
#   Data_Download_Description: NOAA Template File; KwaZulu-Natal Tree-Ring d13C and Intrinsic Water-Use Efficiency (iWUE)
#
#--------------------
# Contribution_Date
#   Date: 2016-07-05
#--------------------
# File_Last_Modified_Date
#   Date: 2025-09-26
#--------------------
# Title
#   Study_Name: African Tree-Ring 250 Year d13C and Intrinsic Water-Use Efficiency (iWUE)
#--------------------
# Investigators
#   Investigators: Wils, T.H.G.(https://orcid.org/0000-0002-5794-0824); Robertson, I.(https://orcid.org/0000-0001-7174-4523); Woodborne, S.; Hall, G.; Koprowski, M.(https://orcid.org/0000-0002-0583-4165); Eshetu, Z.
#--------------------
# Description_Notes_and_Keywords
#   Description: Annual carbon isotope and intrinsic water-use efficiency values from 8 trees from Ethiopia, Namibia, and South Africa# IITRDB15
#--------------------
# Publication
#   Authors: Tommy H.G. Wils, Iain Robertson, Stephan Woodborne, Grant Hall, Marcin Koprowski, Zewdu Eshetu
#   Journal_Name: Journal of Quaternary Science
#   Published_Title: Anthropogenic forcing increases the water use efficiency of African trees
#   Published_Date_or_Year: 2016
#   Volume: 31
#   Issue: 4
#   Pages: 386-390
#   Report_Number: 
#   DOI: 10.1002/jqs.2865
#   Full_Citation:
#   Abstract: Rising atmospheric CO2 concentrations affect climate directly through radiative effects and indirectly by changing plant water-use efficiency. Under global warming scenarios these widely reported changes will have a substantial impact on future bush encroachment, crop yields, river flow and climate feedbacks. Tree-ring intrinsic water-use efficiency (iWUE) records for Africa show a 24.6% increase over the 20th century. As high iWUE can partly counterbalance projected decreases in regional precipitation, this research has important implications for those involved in water resource management and highlights the need for climate models to take physiological forcing into account.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: National Geographic Society
#   Grant: GEFNE80-13
#--------------------
# Site_Information
#   Site_Name: KwaZulu-Natal
#   Location: South Africa
#   Northernmost_Latitude: -29.72
#   Southernmost_Latitude: -29.72
#   Easternmost_Longitude: 31.08
#   Westernmost_Longitude: 31.08
#   Elevation_m: 
#--------------------
# Data_Collection
#   Collection_Name: Africad13CiWUE-kn
#   First_Year: 1870
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: carbon isotopes
#   Notes: 
#--------------------
# Species
# Tree_Species_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/templates/tree-species-code.csv
#   Tree_Species_Download_Description:  List of accepted tree species names and codes. 
#
#   Species_Name: Mimusops caffra E.Mey. ex A.DC
#   Common_Name: coastal red milkwood
#   Tree_Species_Code: MICA
#--------------------
# Chronology_Information
# Chronology:
#--------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## d13CKN	delta 13C,alpha cellulose,,per mil VPDB,,tree ring,,isotope ratio mass spectrometry,N,Kwazulu-Natal
## iWUEKN	intrinsic water use efficiency,,95% confidence interval upper bound,micromole per mole,,climate reconstructions;tree ring,,,N,Kwazulu-Natal
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values:
age_CE	d13CKN	iWUEKN
1870	-26.67	
1871	-26.46	
1872	-26.67	
1873	-26.40	
1874	-26.67	
1875	-27.03	
1876	-26.42	
1877	-26.17	
1878	-26.37	
1879	-26.39	
1880	-25.26	
1881	-24.90	
1882		
1883	-24.89	69.9
1884	-25.00	69.1
1885	-24.44	73.8
1886	-24.45	73.8
1887	-25.04	69.1
1888	-24.68	72.1
1889	-25.08	69.0
1890	-25.20	68.1
1891	-24.35	75.1
1892	-24.45	74.4
1893	-24.57	73.5
1894	-24.48	74.5
1895	-25.07	69.7
1896	-25.07	69.9
1897	-24.79	72.3
1898	-24.50	74.7
1899	-24.95	71.2
1900	-25.00	70.8
1901	-24.58	74.5
1902	-24.37	76.3
1903	-24.47	75.6
1904	-24.47	75.6
1905		
1906	-24.30	77.3
1907	-24.38	76.7
1908	-24.46	76.3
1909	-24.79	73.6
1910	-24.61	75.2
1911	-24.49	76.4
1912	-24.96	72.6
1913	-24.83	73.8
1914	-25.51	68.2
1915	-25.03	72.3
1916	-24.81	74.3
1917	-25.18	71.3
1918	-24.93	73.5
1919	-24.97	73.3
1920	-24.77	75.0
1921	-24.59	76.7
1922	-24.71	75.8
1923	-25.16	72.2
1924	-24.68	76.2
1925	-24.98	73.8
1926	-24.30	79.7
1927	-24.42	78.8
1928	-25.24	72.0
1929	-25.23	72.1
1930	-25.25	72.1
1931	-24.99	74.4
1932	-25.61	69.3
1933	-24.95	74.9
1934	-24.75	76.7
1935	-24.87	75.8
1936	-24.85	76.1
1937	-24.78	76.9
1938	-24.91	75.9
1939	-24.82	76.7
1940	-24.93	75.8
1941	-25.10	74.6
1942	-24.38	80.8
1943	-24.46	80.2
1944	-25.16	74.3
1945	-25.13	74.6
1946	-25.04	75.6
1947	-24.91	76.8
1948	-24.92	76.9
1949	-25.17	74.8
1950	-25.75	70.1
1951	-24.77	78.6
1952	-25.19	75.1
1953	-24.74	79.1
1954	-24.73	79.4
1955	-24.73	79.6
1956	-23.92	86.7
1957	-24.65	80.6
1958	-25.37	74.5
1959	-24.86	79.2
1960	-25.25	76.0
1961	-25.04	77.9
1962	-24.97	79.0
1963	-25.44	75.2
1964	-25.49	75.3
1965	-24.90	81.0
1966	-24.47	85.3
1967	-24.72	83.5
1968	-25.30	78.9
1969	-24.83	83.5
1970	-24.93	83.2
1971	-24.59	86.7
1972	-25.10	82.7
1973	-25.47	79.8
1974	-25.23	82.6
1975	-25.13	84.1
1976	-25.60	80.3
1977	-25.87	78.3
1978	-25.53	82.0
1979	-25.70	81.0
1980	-25.44	84.1
1981	-25.82	81.0
1982	-25.64	83.3
1983	-25.38	86.4
1984	-25.22	88.5
1985	-25.36	87.8
1986	-26.21	80.3
1987	-27.22	71.2
1988	-27.14	72.6
1989	-26.05	83.8
1990	-26.57	79.4
1991	-25.93	86.3
1992	-25.65	89.8
1993	-26.04	86.5
1994	-26.78	79.8
1995	-27.09	77.5
1996	-27.24	76.6
1997	-27.46	75.1
1998	-26.37	86.7
1999	-26.31	88.1
2000	-26.07	91.3
2001	-26.33	89.4
2002	-26.14	92.1
2003	-26.54	88.7
