year,nino34_mean,dmi_mean
1870,-0.9283,-0.4156
1871,-0.4492,-0.2674
1872,-0.7125,-0.1512
1873,-0.695,-0.4374
1874,-1.0675,-0.5884
1875,-0.765,-0.3413
1876,-0.5,-0.3536
1877,1.2333,0.0007
1878,0.5542,-0.3244
1879,-0.685,-0.5322
1880,-0.3708,-0.4028
1881,-0.0425,-0.2722
1882,-0.4625,-0.3632
1883,-0.2633,-0.297
1884,0.1675,-0.2351
1885,0.3825,-0.2605
1886,-0.7742,-0.6401
1887,-0.5992,-0.2901
1888,0.8125,-0.521
1889,-0.0967,-0.6763
1890,-1.2792,-0.5872
1891,-0.0067,-0.2307
1892,-0.835,-0.5418
1893,-1.2492,-0.553
1894,-0.92,-0.2052
1895,-0.0225,-0.2153
1896,0.5683,-0.1669
1897,0.0725,-0.4328
1898,-0.5583,-0.601
1899,0.2108,-0.421
1900,0.7417,-0.3627
1901,-0.1208,-0.7146
1902,0.7358,-0.1114
1903,-0.0008,-0.5421
1904,-0.0108,-0.3212
1905,0.89,-0.3746
1906,-0.0333,-0.7553
1907,-0.3758,-0.3918
1908,-0.5108,-0.4086
1909,-0.8742,-0.6918
1910,-0.9283,-0.6251
1911,-0.2542,-0.5304
1912,0.2117,-0.4113
1913,0.035,-0.2308
1914,0.4975,-0.1597
1915,0.355,-0.399
1916,-0.93,-0.44
1917,-0.4225,-0.4737
1918,0.0783,-0.0387
1919,0.6075,-0.2756
1920,0.2192,-0.2272
1921,-0.4508,-0.354
1922,-0.3325,-0.3491
1923,0.0292,-0.0994
1924,-0.4075,-0.4194
1925,0.1892,0.0348
1926,0.5225,-0.188
1927,-0.0783,-0.3585
1928,-0.0658,-0.481
1929,0.085,-0.2963
1930,0.7175,-0.3366
1931,0.4525,-0.4601
1932,-0.0058,-0.3798
1933,-0.6242,-0.4538
1934,-0.49,-0.2375
1935,-0.17,-0.0309
1936,0.11,-0.2283
1937,0.01,-0.2254
1938,-0.4575,-0.3432
1939,-0.1917,-0.2034
1940,0.7383,-0.3113
1941,1.11,-0.2868
1942,-0.45,-0.5986
1943,-0.5158,-0.261
1944,-0.1042,-0.0604
1945,-0.6267,-0.3541
1946,-0.2167,-0.1068
1947,-0.2658,-0.3399
1948,0.0808,-0.2595
1949,-0.4967,-0.0659
1950,-1.0625,-0.384
1951,0.1258,-0.0279
1952,-0.1858,-0.1804
1953,0.3192,-0.0242
1954,-0.5867,-0.4486
1955,-1.1842,-0.3514
1956,-0.8567,-0.4846
1957,0.475,-0.3903
1958,0.4292,-0.7173
1959,-0.0175,-0.5718
1960,-0.09,-0.5948
1961,-0.1892,0.1372
1962,-0.335,-0.085
1963,0.3608,0.1459
1964,-0.5425,-0.5449
1965,0.6,-0.3077
1966,0.2342,-0.199
1967,-0.3783,0.0169
1968,-0.0242,-0.1808
1969,0.5575,-0.2001
1970,-0.355,-0.1659
1971,-0.9308,-0.1412
1972,0.775,0.3366
1973,-0.6508,-0.2272
1974,-0.945,-0.2332
1975,-1.045,-0.3055
1976,-0.0858,0.0582
1977,0.5017,-0.0957
1978,-0.1792,-0.3738
1979,0.1867,-0.1587
1980,0.1408,-0.4255
1981,-0.1892,-0.2717
1982,0.915,0.2225
1983,0.4458,-0.1663
1984,-0.72,-0.3271
1985,-0.7117,-0.3858
1986,0.0842,-0.2351
1987,1.2242,0.0991
1988,-1.0192,-0.2011
1989,-0.7883,-0.3673
1990,0.1775,-0.2575
1991,0.5975,0.115
1992,0.6225,-0.5638
1993,0.4367,-0.1592
1994,0.3825,0.3802
1995,-0.025,-0.1135
1996,-0.37,-0.4604
1997,1.19,0.42
1998,0.0725,-0.1639
1999,-1.0942,-0.0639
2000,-0.8725,-0.0288
2001,-0.3367,-0.1223
2002,0.5892,-0.0785
2003,0.2392,-0.0349
2004,0.3692,-0.1352
2005,0.0358,-0.2928
2006,0.0933,0.0832
2007,-0.5608,0.1022
2008,-0.7133,0.0571
2009,0.3525,0.0382
2010,-0.43,-0.0414
2011,-0.8483,0.1877
2012,-0.0317,0.1068
2013,-0.2217,-0.1338
2014,0.2542,-0.1003
2015,1.47,0.1692
2016,0.3958,-0.2469
2017,-0.2025,0.2623
2018,0.0625,0.1968
2019,0.5325,0.5332
2020,-0.2217,0.0883
2021,-0.6275,0.0242
2022,-0.8475,-0.2142
2023,0.8292,0.5996
2024,0.4258,0.1628
2025,-0.28,-0.1299
2026,0.2733,0.2724
2027,0.0,0.0
2028,0.0,0.0
2029,0.0,0.0
2030,0.0,0.0
2031,0.0,0.0
2032,0.0,0.0
2033,0.0,0.0
2034,0.0,0.0
2035,0.0,0.0
