year,actual_spei,actual_drought,predicted_drought,drought_probability,predicted_spei
1901,0.2479511052370071,0,0,0.09648001126624935,-0.001797769762635355
1902,-0.2291279584169387,0,0,0.22615140667738576,0.0021749376146888003
1903,0.274067610502243,0,0,0.2709490491935292,0.06604335441872972
1904,-0.2236446291208267,0,0,0.38121499078319815,0.05934368013611333
1905,-0.2532202899456024,1,0,0.038934895755585404,0.13800876523091268
1906,0.373401403427124,0,0,0.4095474882692376,-0.12355691146882332
1907,-0.2475703507661819,0,0,0.41579903280589287,0.02282962538727489
1908,-0.1953641176223755,0,0,0.45919094428319296,0.1145007406542895
1909,0.4151352941989898,0,0,0.4520672461165168,-0.009298643566276134
1910,-0.2589723169803619,1,0,0.19541907283049956,0.06818454864927476
1911,-0.1253418177366256,0,0,0.4868781372762305,-0.019723283170764775
1912,0.0028874725103378,0,0,0.23924414005513372,-0.008392471984322407
1913,-0.8384860157966614,1,0,0.07225529209648993,-0.04864385438659082
1914,0.6696407794952393,0,0,0.3895774597051122,0.12168710007777557
1915,0.4673984944820404,0,1,0.5115722536775299,0.22467992429721914
1916,0.5529965758323669,0,0,0.32560663787235655,0.2381365469197984
1917,0.7037203311920166,0,0,0.3556007308184929,0.04273329833033042
1918,-0.4512866735458374,1,0,0.412386952686455,0.02997660998563107
1919,-0.3808564841747284,1,0,0.390746394343877,-0.06332749317961768
1920,-0.1751001477241516,0,1,0.5770641654916413,-0.04287996617053601
1921,-0.237095907330513,0,1,0.5747735325465596,-0.03847227461199588
1922,-0.3816281855106354,1,0,0.3663268730568399,0.06518577577982301
1923,0.038419272750616,0,0,0.2613896559622822,0.007714213510377812
1924,0.0352985821664333,0,0,0.29822334025748587,-0.04725069279915507
1925,0.2484306842088699,0,0,0.35705931984763234,0.04747691686787513
1926,0.6536893248558044,0,0,0.2808808395860273,0.11143367406070416
1927,0.0723278895020484,0,0,0.2528853713413821,0.1466293222432366
1928,0.1193560138344764,0,0,0.3477671351877054,0.019426582482030278
1929,0.0283616874366998,0,0,0.3515173678157572,0.05247000657340577
1930,0.5773292183876038,0,1,0.524001530158182,-0.06746659359446217
1931,0.1023918986320495,0,0,0.3124337846008647,-0.033103252115347835
1932,-0.2611654102802276,1,0,0.3888444415278276,-0.05416126134900559
1933,-0.2388769388198852,0,0,0.43754372839990724,-0.057291924996701764
1934,-0.0979295372962951,0,0,0.49160568647803954,-0.08519141312678558
1935,-0.3657133877277374,1,0,0.37431102093606844,0.12273427839018777
1936,0.3363324701786041,0,0,0.3660684961439842,0.07000707099705267
1937,0.1199691221117973,0,0,0.373207088865408,0.22487239314836546
1938,-0.4214105904102325,1,0,0.28885768957489405,-0.058795741042777454
1939,-0.2677980661392212,1,0,0.4287611621162557,-0.017630380693314084
1940,-0.3280819952487945,1,0,0.31413710895532465,-0.03149557090630956
1941,-0.1055352613329887,0,0,0.46139875337317404,-0.026063097214959304
1942,-0.1342534273862838,0,0,0.458662395302331,-0.10691172689656848
1943,-0.2347933202981948,0,0,0.31075213992158546,-0.08388133547568181
1944,-0.0672774240374565,0,0,0.30297379172286837,-0.12620706301377219
1945,-0.3908263444900512,1,0,0.21915683773325279,0.002544365180588243
1946,-0.1386096775531768,0,1,0.6027936782719482,-0.08561594314987271
1947,0.0910435616970062,0,0,0.17324640591882812,0.049386071484912905
1948,0.1719025373458862,0,1,0.705418758251923,-0.1269887518002048
1949,0.2875553667545318,0,0,0.4608052611340194,-0.06383571402480205
