year,spei
1901,0.24795110523700714
1902,-0.22912795841693878
1903,0.27406761050224304
1904,-0.22364462912082672
1905,-0.2532202899456024
1906,0.373401403427124
1907,-0.24757035076618195
1908,-0.1953641176223755
1909,0.41513529419898987
1910,-0.25897231698036194
1911,-0.12534181773662567
1912,0.0028874725103378296
1913,-0.8384860157966614
1914,0.6696407794952393
1915,0.4673984944820404
1916,0.5529965758323669
1917,0.7037203311920166
1918,-0.4512866735458374
1919,-0.3808564841747284
1920,-0.1751001477241516
1921,-0.237095907330513
1922,-0.3816281855106354
1923,0.038419272750616074
1924,0.035298582166433334
1925,0.24843068420886993
1926,0.6536893248558044
1927,0.07232788950204849
1928,0.11935601383447647
1929,0.028361687436699867
1930,0.5773292183876038
1931,0.10239189863204956
1932,-0.26116541028022766
1933,-0.23887693881988525
1934,-0.09792953729629517
1935,-0.3657133877277374
1936,0.3363324701786041
1937,0.11996912211179733
1938,-0.42141059041023254
1939,-0.2677980661392212
1940,-0.32808199524879456
1941,-0.10553526133298874
1942,-0.13425342738628387
1943,-0.23479332029819489
1944,-0.06727742403745651
1945,-0.39082634449005127
1946,-0.13860967755317688
1947,0.09104356169700623
1948,0.17190253734588623
1949,0.28755536675453186
1950,-0.09993841499090195
1951,-0.6354600787162781
1952,-0.19309158623218536
1953,-0.5390637516975403
1954,-0.08561370521783829
1955,-0.17501525580883026
1956,-0.25254735350608826
1957,-0.019275635480880737
1958,0.3554265797138214
1959,-0.051244866102933884
1960,-0.12888990342617035
1961,0.2584274709224701
1962,-0.09904219955205917
1963,0.24700693786144257
1964,0.48437318205833435
1965,0.016939237713813782
1966,0.0283378753811121
1967,0.42788469791412354
1968,0.09285988658666611
1969,-0.0007012784481048584
1970,-0.022817572578787804
1971,0.42817559838294983
1972,0.18684129416942596
1973,-0.4385960102081299
1974,-0.509880006313324
1975,0.08153871446847916
1976,0.034954871982336044
1977,0.38612687587738037
1978,-0.3972040116786957
1979,0.13222134113311768
1980,-0.23519496619701385
1981,-0.09343650192022324
1982,0.3033008575439453
1983,0.18013030290603638
1984,-0.5322111248970032
1985,0.010793467052280903
1986,-0.2344001680612564
1987,-0.5494649410247803
1988,0.026941940188407898
1989,0.24103479087352753
1990,-0.27534565329551697
1991,-0.2322782725095749
1992,0.1762484312057495
1993,0.2748733460903168
1994,-0.023485826328396797
1995,0.11362498998641968
1996,0.32646048069000244
1997,-0.009223063476383686
1998,0.1226918175816536
1999,-0.17982201278209686
2000,-0.03872601315379143
2001,-0.04437291622161865
2002,-0.40130534768104553
2003,-0.07489696890115738
2004,0.061136167496442795
2005,0.23904769122600555
2006,0.2442876100540161
2007,0.15092937648296356
2008,-0.05665808916091919
2009,-0.14336323738098145
2010,0.2271687537431717
2011,0.17467619478702545
2012,0.2179536670446396
2013,0.17859487235546112
2014,-0.01033147145062685
2015,-0.3841265141963959
2016,0.22487705945968628
2017,0.02100224234163761
2018,0.35177457332611084
2019,0.1612008959054947
2020,0.6064455509185791
2021,-0.20496545732021332
2022,-0.06781376898288727
2023,0.16884876787662506
2024,0.6807319521903992
